Tipo de Asunto,Número completo del expediente,Número del expediente,Año,Acumulación de asuntos,Actor promovente,Actor legitimado de acuerdo a la CPEUM,Categoría del actor legitimado,Nombre del partido político cuando éste sea actor legitimado,Nombre(s) del (los) partido(s) político(s) que forman la minoría legislativa legitimada,Artículos constitucionales que se estiman violados,Fecha de ingreso a la SCJN,Fecha del acuerdo de radicación y turno,Ministro instructor designado en el auto de radicación y turno,Fecha del acuerdo inicial,Sentido del acuerdo inicial,Recurso de Reclamación,Asunto concluido por acuerdo,Fecha del acuerdo por el que se concluyó el asunto,Órgano resolutor de la sentencia ejecutoria,Fecha de sentencia ejecutoria,Nombre del ministro ponente,Fecha de notificación de la sentencia ejecutoria,Norma válida,Inconstitucionalidad,Norma inválida,Norma sobreseida,Sentencia desestimada,Sentencia otra,Tema de la Acción de Inconstitucionalidad,Órgano legislativo emisor de la norma impugnada,Nivel de gobierno del órgano legislativo emisor de la norma impugnada,Número de la legislatura del órgano emisor de la norma impugnada,Órgano que promulgó la norma impugnada,Nivel de gobierno del órgano que promulgó la norma impugnada,Entidad federativa del órgano emisor y promulgador de la norma impugnada,Norma impugnada,Validez territorial de la norma impugnada,Tipo de la norma impugnada,Fecha(s) de publicación de la norma impugnada,Órgano legislativo emisor de la norma impugnada 2,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 2,Número de la legislatura del órgano emisor de la norma impugnada 2,Órgano que promulgó la norma impugnada 2,Nivel de gobierno del órgano que promulgó la norma impugnada 2,Entidad federativa del órgano emisor y promulgador de la norma impugnada 2,Norma impugnada 2,Validez territorial de la norma impugnada 2,Tipo de la norma impugnada 2,Fecha(s) de publicación de la norma impugnada 2,Órgano legislativo emisor de la norma impugnada 3,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 3,Número de la legislatura del órgano emisor de la norma impugnada 3,Órgano que promulgó la norma impugnada 3,Nivel de gobierno del órgano que promulgó la norma impugnada 3,Entidad federativa del órgano emisor y promulgador de la norma impugnada 3,Norma impugnada 3,Validez territorial de la norma impugnada 3,Tipo de la norma impugnada 3,Fecha(s) de publicación de la norma impugnada 3,Órgano legislativo emisor de la norma impugnada 4,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 4,Número de la legislatura del órgano emisor de la norma impugnada 4,Órgano que promulgó la norma impugnada 4,Nivel de gobierno del órgano que promulgó la norma impugnada 4,Entidad federativa del órgano emisor y promulgador de la norma impugnada 4,Norma impugnada 4,Validez territorial de la norma impugnada 4,Tipo de la norma impugnada 4,Fecha(s) de publicación de la norma impugnada 4,Órgano legislativo emisor de la norma impugnada 5,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 5,Número de la legislatura del órgano emisor de la norma impugnada 5,Órgano que promulgó la norma impugnada 5,Nivel de gobierno del órgano que promulgó la norma impugnada 5,Entidad federativa del órgano emisor y promulgador de la norma impugnada 5,Norma impugnada 5,Validez territorial de la norma impugnada 5,Tipo de la norma impugnada 5,Fecha(s) de publicación de la norma impugnada 5,Órgano legislativo emisor de la norma impugnada 6,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 6,Número de la legislatura del órgano emisor de la norma impugnada 6,Órgano que promulgó la norma impugnada 6,Nivel de gobierno del órgano que promulgó la norma impugnada 6,Entidad federativa del órgano emisor y promulgador de la norma impugnada 6,Norma impugnada 6,Validez territorial de la norma impugnada 6,Tipo de la norma impugnada 6,Fecha(s) de publicación de la norma impugnada 6,Órgano legislativo emisor de la norma impugnada 7,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 7,Número de la legislatura del órgano emisor de la norma impugnada 7,Órgano que promulgó la norma impugnada 7,Nivel de gobierno del órgano que promulgó la norma impugnada 7,Entidad federativa del órgano emisor y promulgador de la norma impugnada 7,Norma impugnada 7,Validez territorial de la norma impugnada 7,Tipo de la norma impugnada 7,Fecha(s) de publicación de la norma impugnada 7,Órgano legislativo emisor de la norma impugnada 8,Nivel de gobierno del órgano legislativo emisor de la norma impugnada 8,Número de la legislatura del órgano emisor de la norma impugnada 8,Órgano que promulgó la norma impugnada 8,Nivel de gobierno del órgano que promulgó la norma impugnada 8,Entidad federativa del órgano emisor y promulgador de la norma impugnada 8,Norma impugnada 8,Validez territorial de la norma impugnada 8,Tipo de la norma impugnada 8,Fecha(s) de publicación de la norma impugnada 8,¿Se hace referencia a disposiciones internacionales?,Disposición(es) internacional(es) en escrito inicial,Disposición(es) internacional(es) en pedimento de la PGR,Disposición(es) internacional(es) en informes,Disposición(es) internacional(es) en sentencia,Disposición(es) internacional(es) en voto separado,En caso de informes; quien  hace mención a la(s) disposición(es) internacional(es),En caso de voto separado; tipo de voto y quien(es) emite(n) el voto separado,
Acción de Inconstitucionalidad,00001/1995-00,1,1995,,INTEGRANTES DE LA I ASAMBLEA LEGISLATIVA DEL DISTRITO FEDERAL,33% DE LOS INTEGRANTES DE LA ASAMBLEA LEGISLATIVA DEL DISTRITO FEDERAL,ÓRGANO LEGISLATIVO D.F.,NO APLICA,PAN - PRD - PT - PVEM,41. 122; FRACCIÓN I; INCISO E).,03.07.1995,04.07.1995,JUVENTINO V. CASTRO Y CASTRO,10.07.1995,DESECHAMIENTO,Sí,NO,,PLENO,31.10.1995,JUVENTINO V. CASTRO Y CASTRO,12.12.1995,,NO,,SOBRESEIMIENTO TOTAL; CON FUNDAMENTO EN ART. 19; FRACC. II; DE LA LEY REGLAMENTARIA DE LAS FRACCIONES I Y II DEL ARTÍCULO 105 DE LA CONSTITUCIÓN POLÍTICA DE LOS ESTADOS UNIDOS MEXICANOS.,,,ADMINISTRATIVA,ASAMBLEA DE REPRESENTANTES DEL DISTRITO FEDERAL,DISTRITO FEDERAL,I,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): LEY DE PARTICIPACIÓN CIUDADANA DEL DISTRITO FEDERAL. ART.: 60. 61. 62. 63. 64. 65. 66. 67. 68. 71.,(1) DISTRITO FEDERAL,(1) LEY,(1) 12.06.1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO HAY DATOS,,,,,,,,
Acción de Inconstitucionalidad,00001/1996-00,1,1996,,INTEGRANTES DE LA LVI LEGISLATURA DE LA CÁMARA DE DIPUTADOS DEL CONGRESO DE LA UNIÓN,33% DE LA CÁMARA DE DIPUTADOS DEL CONGRESO DE LA UNIÓN,PODER LEGISLATIVO FEDERAL,NO APLICA,PRD - PT - PAN,21. 129.,09.01.1996,10.01.1996,MARIANO AZUELA GÜITRÓN,11.01.1996,ADMISIÓN,NO,NO,,PLENO,05.03.1996,MARIANO AZUELA GÜITRÓN,13.03.1996,NORMA (A): LEY GENERAL QUE ESTABLECE LAS BASES DE COORDINACIÓN DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA. ART.: 12; FRACCIONES III Y IV.,NO,,,,,SEGURIDAD PÚBLICA,CONGRESO DE LA UNIÓN,FEDERAL,,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): LEY GENERAL QUE ESTABLECE LAS BASES DE COORDINACIÓN DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA. ART.: 12; FRACCIONES III Y IV.,(1) FEDERAL,(1) LEY,(1) 11.12.1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00002/1996-00,2,1996,,INTEGRANTES DE LA LI LEGISLATURA DEL CONGRESO DEL ESTADO DE COLIMA,33% DEL ÓRGANO LEGISLATIVO ESTATAL,PODER LEGISLATIVO ESTATAL,NO APLICA,PAN - PRD,41. 117; FRACCIÓN VIII. 133.,27.02.1996,29.02.1996,GENARO DAVID GÓNGORA PIMENTEL,08.03.1996,DESECHAMIENTO,NO,SÍ,08.03.1996,,,,,,,,,,,ADMINISTRATIVA,CONGRESO DEL ESTADO DE COLIMA,ESTATAL,LI,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COLIMA,ESTATAL,COLIMA,NORMA (1): DECRETO 163 POR EL QUE SE AUTORIZA AL TITULAR DEL EJECUTIVO DEL ESTADO PARA QUE CONTRATE UN FINANCIAMIENTO CON LA EMPRESA UNISYS DE MÉXICO; S.A. DE C.V..,(1) ESTATAL,(1) DECRETO,(1) 20.01.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO HAY DATOS,,,,,,,,
Acción de Inconstitucionalidad,00003/1996-00,3,1996,,INTEGRANTES DE LA VIII LEGISLATURA DEL CONGRESO DEL ESTADO DE BAJA CALIFORNIA SUR,33% DEL ÓRGANO LEGISLATIVO ESTATAL,PODER LEGISLATIVO ESTATAL,NO APLICA,PAN - PRD,21. 49. 115. 116.,08.07.1996,02.08.1996,GUILLERMO I. ORTIZ MAYAGOITIA,05.08.1996,ADMISIÓN,NO,NO,,PLENO,22.10.1998,GUILLERMO I. ORTIZ MAYAGOITIA,10.11.1998,NORMA (A): LEY DE SEGURIDAD PÚBLICA PARA EL ESTADO DE BAJA CALIFORNIA SUR. ART.: 47 Y 12; FRACCIÓN II.,SÍ,NORMA (A): LEY DE SEGURIDAD PÚBLICA PARA EL ESTADO DE BAJA CALIFORNIA SUR. ART.: 6; FRACCIÓN I.,,,,SEGURIDAD PÚBLICA,CONGRESO DEL ESTADO DE BAJA CALIFORNIA SUR,ESTATAL,VIII,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE BAJA CALIFORNIA SUR,ESTATAL,BAJA CALIFORNIA SUR,NORMA (1): LEY DE SEGURIDAD PÚBLICA PARA EL ESTADO DE BAJA CALIFORNIA SUR.,(1) ESTATAL,(1) LEY,(1) 06.06.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00004/1996-00,4,1996,,INTEGRANTES DE LA LIV LEGISLATURA DEL CONGRESO DEL ESTADO DE YUCATÁN,33% DEL ÓRGANO LEGISLATIVO ESTATAL,PODER LEGISLATIVO ESTATAL,NO APLICA,NO APLICA,26. 73; FRACCIÓN XXIX-D. 115.,23.09.1996,26.09.1996,SERGIO SALVADOR AGUIRRE ANGUIANO,27.09.1996,ADMISIÓN,NO,NO,,PLENO,26.10.2000,SERGIO SALVADOR AGUIRRE ANGUIANO,17.11.2000,NORMA (A): LEY ORGÁNICA DE LOS MUNICIPIOS DEL ESTADO DE YUCATÁN. ART.: 91; 94 Y 149.,SÍ,NORMA (A): LEY ORGÁNICA DE LOS MUNICIPIOS DEL ESTADO DE YUCATÁN. ART.: 92; 93; 95 Y 95 BIS.,,,,ADMINISTRATIVA,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LIV,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (1): LEY ORGÁNICA DE LOS MUNICIPIOS DEL ESTADO DE YUCATÁN. ART.: 91. 92. 93. 94. 95. 95-BIS. 149.,(1) ESTATAL,(1) LEY,(1) 26.08.1996,CONGRESO DEL ESTADO DE YUCATÁN,ESTATAL,LIV,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE YUCATÁN,ESTATAL,YUCATÁN,NORMA (2): DECRETO 63 POR EL QUE SE REFORMAN; ADICIONAN Y CREAN ARTÍCULOS DE LA LEY ORGÁNICA DE LOS MUNICIPIOS DEL ESTADO DE YUCATÁN.,(2) ESTATAL,(2) DECRETO,(2) 26.08.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00005/1996-00,5,1996,,PARTIDO ACCIÓN NACIONAL,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PAN,NO APLICA,14; PÁRRAFO SEGUNDO. 41; FRACCIÓN II. 115; FRACCIÓN VIII. 116; FRACCIÓN II; PÁRRAFO TERCERO.,23.11.1996,25.11.1996,JOSÉ DE JESÚS GUDIÑO PELAYO,25.11.1996,ADMISIÓN,NO,NO,,PLENO,02.01.1997,GUILLERMO I. ORTIZ MAYAGOITIA,03.04.1997,,NO,,,,DESECHAMIENTO.,ELECTORAL,CONGRESO DEL ESTADO DE COLIMA,ESTATAL,LI,GOBERNADOR CONSTITUCIONAL DEL ESTADO DE COLIMA,ESTATAL,COLIMA,NORMA (1): CÓDIGO ELECTORAL DEL ESTADO DE COLIMA. ART.: 27; PÁRRAFO SEGUNDO. 301; PÁRRAFOS PRIMERO; SEGUNDO Y TERCERO.,(1) ESTATAL,(1) CÓDIGO,(1) 09.11.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00006/1996-00,6,1996,,PARTIDO DE LA REVOLUCIÓN DEMOCRÁTICA,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PRD,NO APLICA,41; FRACCIONES II; PÁRRAFO SEGUNDO; INCISOS A); B) Y C); III; PÁRRAFO SEGUNDO.,28.11.1996,28.11.1996,JUAN N. SILVA MEZA,28.11.1996,ADMISIÓN,NO,NO,,PLENO,07.01.1997,JUAN N. SILVA MEZA,29.01.1997,NORMA (A): CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: 49; PÁRRAFO SÉPTIMO; INCISO A); FRACCIÓN I. NORMA (B): DECRETO POR EL QUE SE REFORMAN; ADICIONAN Y DEROGAN DIVERSAS DISPOSICIONES DEL CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: DÉCIMO TRANSITORIO.,NO,,,,,ELECTORAL,CONGRESO DE LA UNIÓN,FEDERAL,,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: 49; PÁRRAFO SÉPTIMO; INCISO A); FRACCIÓN I.,(1) FEDERAL,(1) CÓDIGO,(1) 22.11.1996,CONGRESO DE LA UNIÓN,FEDERAL,LVI,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (2): DECRETO POR EL QUE SE REFORMAN; ADICIONAN Y DEROGAN DIVERSAS DISPOSICIONES DEL CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: DÉCIMO TRANSITORIO.,(2) FEDERAL,(2) DECRETO,(2) 22.11.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00007/1996-00,7,1996,,PARTIDO FORO DEMOCRÁTICO,OTRO (ACTOR NO LEGITIMADO O PARTIDO POLÍTICO SIN REGISTRO),NO APLICA,NO APLICA,NO APLICA,16; PÁRRAFO PRIMERO. 41; PÁRRAFO SEGUNDO; FRACCIÓN II; PÁRRAFOS PRIMERO Y SEGUNDO. 73. 122; APARTADO C; BASE PRIMERA; FRACCIÓN V; INCISO F). 124.,28.11.1996,28.11.1996,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,28.11.1996,ADMISIÓN,NO,NO,,PLENO,07.01.1997,OLGA SÁNCHEZ CORDERO DE GARCÍA VILLEGAS,23.01.1997,,NO,,,,DESECHAMIENTO.,ELECTORAL,CONGRESO DE LA UNIÓN,FEDERAL,,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: DÉCIMO TRANSITORIO. DÉCIMO PRIMERO TRANSITORIO. DÉCIMO SEGUNDO TRANSITORIO. DÉCIMO TERCERO TRANSITORIO. DÉCIMO CUARTO TRANSITORIO. DÉCIMO QUINTO TRANSITORIO. DÉCIMO SEXTO TRANSITORIO. DÉCIMO SÉPTIMO TRANSITORIO. DÉCIMO OCTAVO TRANSITORIO.,(1) FEDERAL,(1) CÓDIGO,(1) 22.11.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00008/1996-00,8,1996,,PARTIDO VERDE ECOLOGISTA DE MÉXICO,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PVEM,NO APLICA,41; FRACCIÓN I. 99; FRACCIÓN IV.,03.12.1996,04.12.1996,JUVENTINO V. CASTRO Y CASTRO,04.12.1996,ADMISIÓN,NO,NO,,PLENO,09.01.1997,JUVENTINO V. CASTRO Y CASTRO,23.01.1997,NORMA (A): DECRETO QUE EXPIDE LA LEY GENERAL DEL SISTEMA DE MEDIOS DE IMPUGNACIÓN EN MATERIA ELECTORAL. ART.: SEGUNDO TRANSITORIO; INCISO C).,NO,,,,,ELECTORAL,CONGRESO DE LA UNIÓN,FEDERAL,,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): DECRETO QUE EXPIDE LA LEY GENERAL DEL SISTEMA DE MEDIOS DE IMPUGNACIÓN EN MATERIA ELECTORAL. ART.: SEGUNDO TRANSITORIO; INCISO C).,(1) FEDERAL,(1) DECRETO,(1) 22.11.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
Acción de Inconstitucionalidad,00009/1996-00,9,1996,,PARTIDO ACCIÓN NACIONAL,PARTIDO POLÍTICO CON REGISTRO FEDERAL,PARTIDO POLÍTICO FEDERAL,PAN,NO APLICA,41; FRACCIÓN II; INCISO A).,06.12.1996,06.12.1996,JUAN DÍAZ ROMERO,06.12.1996,ADMISIÓN,NO,NO,,PLENO,09.01.1997,JUAN DÍAZ ROMERO,29.01.1997,NORMA (A): CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: 49; PÁRRAFO SÉPTIMO; INCISO A); CUARTO TRANSITORIO; QUINTO TRANSITORIO; SEXTO TRANSITORIO Y DÉCIMO TRANSITORIO.,NO,,,,,ELECTORAL,CONGRESO DE LA UNIÓN,FEDERAL,,PRESIDENTE CONSTITUCIONAL DE LOS ESTADOS UNIDOS MEXICANOS,FEDERAL,DISTRITO FEDERAL,NORMA (1): CÓDIGO FEDERAL DE INSTITUCIONES Y PROCEDIMIENTOS ELECTORALES. ART.: 49; PÁRRAFO SÉPTIMO; INCISO A). CUARTO TRANSITORIO. QUINTO TRANSITORIO. SEXTO TRANSITORIO. DÉCIMO TRANSITORIO.,(1) FEDERAL,(1) CÓDIGO,(1) 22.11.1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
